WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
4505,,,,52.047861,-113.457327,8,35,SE,35,25,4,,,,8-35-035-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4506,,,,51.575183,-113.051516,13,16,NW,30,22,4,,,,13-16-030-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4507,,,,52.479582,-113.18459,3,36,SW,40,23,4,,,,3-36-040-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4508,,,,51.707799,-113.159966,3,2,SW,32,23,4,,,,3-02-032-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4509,,,,52.648613,-112.882505,12,30,NW,42,20,4,,,,12-30-042-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4510,,161393,,52.507083,-113.028683,1,12,SE,41,22,4,,,,1-12-041-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4511,,,,52.126933,-112.935233,16,28,NE,36,21,4,,,,16-28-036-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4512,,,,52.141716,-112.919333,15,34,NE,36,21,4,,,,15-34-036-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4513,,,,52.14156,-112.916898,15,34,NE,36,21,4,,,,15-34-036-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4514,,,,52.527446,-112.797832,7,15,SE,41,20,4,,,,7-15-041-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4515,,,,52.143333,-112.903866,3,2,SW,37,21,4,,,,3-02-037-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4517,,,,52.099843,-113.080125,1,21,SE,36,22,4,,,,1-21-036-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4518,,,,52.529648,-113.098117,12,15,NW,41,22,4,,,,12-15-041-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4519,,,,51.761705,-113.531173,15,19,NE,32,25,4,,,,15-19-032-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4520,,,,52.617754,-112.885413,9,13,NE,42,21,4,,,,9-13-042-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4521,,,,52.528076,-112.797855,7,15,SE,41,20,4,,,,7-15-041-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4522,,,,52.472709,-113.222164,9,27,NE,40,23,4,,,,9-27-040-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4523,,,,51.80537,-113.26645,9,1,NE,33,24,4,,,,9-01-033-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4524,,,,52.692666,-113.020683,11,8,NW,43,21,4,,,,11-08-043-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4526,,,,52.566463,-112.8073,4,34,SW,41,20,4,,,,4-34-041-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4527,,,,52.136977,-112.880752,12,36,NW,36,21,4,,,,12-36-036-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4528,,,,52.480799,-113.319166,1,36,SE,40,24,4,,,,1-36-040-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4529,,,,52.465667,-113.267313,4,28,SW,40,23,4,,,,4-28-040-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4530,,,,52.483266,-113.265811,5,33,SW,40,23,4,,,,5-33-040-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4531,,,,52.685445,-113.142864,4,9,SW,43,22,4,,,,4-09-043-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4532,,,,52.623999,-113.743166,4,19,SW,42,26,4,,,,4-19-042-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4533,,,,52.674263,-112.952824,5,2,SW,43,21,4,,,,5-02-043-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4534,,141554,,51.796666,-113.263444,4,6,SW,33,23,4,,,,4-06-033-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4537,,141771,,51.800905,-113.477304,5,3,SW,33,25,4,,,,5-03-033-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4539,,141840,,51.878649,-113.432416,16,35,NE,33,25,4,,,,16-35-033-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4540,,141843,,51.866861,-113.426416,13,25,NW,33,25,4,,,,13-25-033-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4541,,142841,,52.591113,-112.884253,9,1,NE,42,21,4,,,,9-01-042-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
