BACTERIO_DETAILS_ID,WELL_TEST_ID,LAB_SAMPLE_NUMBER,LAB_NAME,LAB_LOCATION,CREATE_TIMESTAMP,CREATE_USERID
1064923,405,L458519-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064927,2269,L458508-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064931,109,L458482-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064935,705,L459183-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064939,849,L458468-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064943,850,L458863-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064947,706,L459972-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064951,2216,L459971-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064959,851,L460495-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064963,312,L461701-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064967,898,L460498-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064971,2373,L460498-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064975,208,L462185-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064979,313,L461263-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064983,707,L460912-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064987,852,L462174-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064991,157,L460931-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064995,755,L456161-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064999,899,L463436-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065003,756,L462017-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065007,550,L463098-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065011,2374,L462189-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065015,2315,L463809-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065019,110,L463454-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065023,757,L462173-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065027,209,L462624-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065031,758,L463792-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065035,501,L462725-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065039,551,L461295-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065043,314,L463459-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065047,315,L463710-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065051,802,L463100-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065055,11,L464369-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1065059,900,L463102-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
