WELL_TEST_ID,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
10797,1210301,446.0,5.0,0.05,0.05,8.04,544.0,1040.0,0.16,334.0,4.11,0.248,1.77,415.0,57.7,251.0,2.7,46.0,2.59,0.071,99.8
12024,1210305,280.0,7.7,0.05,0.05,8.42,326.0,256.0,0.26,170.0,15.4,0.0948,0.042,86.3,37.8,96.9,1.46,18.3,0.188,0.071,97.5
10353,1210309,448.0,5.0,0.05,0.05,8.14,547.0,971.0,0.21,435.0,57.6,1.08,0.459,305.0,106.0,184.0,7.76,41.4,0.584,0.071,99.7
10354,1210313,409.0,5.0,0.01,0.01,7.9,499.0,691.0,0.6,42.1,35.0,0.021,0.04,122.0,9.6,272.0,1.6,4.4,0.09,0.01,1.1
11750,1210317,436.0,5.0,0.01,0.01,8.1,532.0,757.0,0.7,15.8,33.0,0.019,0.12,150.0,5.0,304.0,1.0,0.8,1.58,0.01,1.1
9310,1210321,278.0,5.0,0.01,2.1,7.0,339.0,789.0,0.1,325.0,10.3,0.011,0.02,351.0,59.6,154.0,1.7,42.8,0.04,2.1,1.0
11846,1210325,364.0,16.2,0.05,0.746,8.71,411.0,739.0,0.35,23.4,4.89,0.0237,0.03,200.0,7.03,303.0,0.68,1.43,0.03,0.746,117.0
10682,1210329,495.0,5.0,0.01,0.01,7.8,604.0,873.0,1.9,37.5,13.6,0.013,0.12,216.0,9.4,330.0,1.6,3.4,1.72,0.01,1.0
6122,1210333,446.0,21.7,0.05,0.215,8.73,500.0,750.0,1.13,11.6,5.04,0.0097,0.03,187.0,4.1,283.0,0.52,0.34,0.053,0.215,96.4
12025,1210337,266.0,6.3,0.05,0.05,8.38,312.0,350.0,0.14,142.0,7.03,0.0973,0.23,37.3,39.7,92.6,3.07,10.5,0.293,0.071,110.0
9311,1210341,369.0,13.0,0.05,0.05,8.57,424.0,801.0,0.77,15.2,10.8,0.0203,0.03,282.0,5.46,280.0,0.65,0.39,0.03,0.071,91.9
9456,1210345,299.0,10.6,0.05,0.675,8.56,344.0,709.0,3.17,40.0,6.59,0.0057,0.03,240.0,10.5,262.0,0.7,3.35,0.03,0.675,107.0
11847,1210349,421.0,5.0,0.05,0.05,8.29,509.0,705.0,0.34,186.0,1.47,0.0501,0.586,173.0,40.3,214.0,2.56,20.7,0.872,0.071,109.0
9976,1210353,509.0,5.0,0.01,0.01,8.2,621.0,1170.0,0.5,10.7,16.6,0.003,0.04,396.0,3.3,441.0,1.0,0.6,0.05,0.01,1.0
9457,1210357,402.0,5.0,0.01,0.01,7.2,490.0,1790.0,0.1,728.0,4.8,1.25,1.43,986.0,173.0,304.0,5.8,72.0,1.29,0.01,1.0
11046,1210361,332.0,5.0,0.01,0.01,8.4,395.0,972.0,1.3,10.6,18.7,0.01,0.05,374.0,3.6,375.0,0.9,0.4,0.81,0.01,1.1
10683,1210365,474.0,5.0,0.01,0.01,8.2,579.0,1290.0,0.4,17.7,13.1,0.018,0.05,507.0,6.2,474.0,1.2,0.6,0.18,0.01,1.0
9312,1210369,249.0,15.2,0.05,0.05,8.8,273.0,652.0,2.88,9.0,1.54,0.0066,0.03,247.0,3.34,248.0,0.5,0.16,0.308,0.071,106.0
12026,1210373,247.0,15.8,0.05,0.05,8.81,269.0,654.0,2.77,8.8,1.92,0.0055,0.03,251.0,3.29,247.0,0.5,0.14,0.03,0.071,105.0
11047,1210377,552.0,5.0,0.01,0.01,8.2,674.0,1010.0,2.5,17.5,2.4,0.019,0.49,272.0,3.8,391.0,1.8,2.0,0.09,0.01,1.0
11207,1210381,534.0,5.0,0.01,0.01,7.5,651.0,1750.0,0.5,144.0,5.3,0.046,0.53,801.0,37.1,572.0,3.1,12.5,1.65,0.01,1.0
9977,1210385,333.0,5.0,0.01,0.01,7.1,406.0,640.0,0.2,284.0,8.7,0.098,0.14,199.0,73.2,130.0,3.8,24.5,0.19,0.01,1.0
7475,1210389,473.0,5.0,0.01,3.3,6.9,577.0,1560.0,0.1,696.0,85.7,0.187,0.06,647.0,179.0,294.0,6.2,60.5,0.06,3.3,1.0
11751,1210393,425.0,5.0,0.01,0.01,7.2,519.0,716.0,0.3,299.0,1.7,0.087,1.21,196.0,77.2,155.0,4.3,25.9,1.42,0.01,1.0
5285,1210397,454.0,5.0,0.01,0.01,7.2,554.0,946.0,1.1,115.0,27.3,0.049,0.03,293.0,26.0,312.0,2.1,12.1,0.04,0.01,1.0
10581,1210401,447.0,5.0,0.01,0.01,7.3,546.0,1310.0,0.1,399.0,14.3,0.207,0.53,586.0,83.6,309.0,4.4,46.2,0.61,0.01,1.0
12167,1210405,411.0,5.0,0.01,0.01,7.2,501.0,1620.0,0.1,681.0,411.0,0.551,0.32,424.0,138.0,311.0,6.0,81.3,0.45,0.01,1.0
9458,1210409,438.0,14.6,0.05,0.05,8.6,505.0,922.0,1.72,14.3,4.52,0.0183,0.03,307.0,5.08,340.0,0.64,0.4,0.173,0.071,98.2
6526,1210413,600.0,12.1,0.05,0.05,8.4,708.0,890.0,0.99,20.1,74.4,0.0145,0.071,77.8,6.94,368.0,0.95,0.67,0.389,0.071,104.0
11208,1210417,321.0,6.0,0.05,0.05,8.42,379.0,1390.0,1.07,28.4,10.3,0.0327,0.03,719.0,10.5,455.0,0.78,0.53,0.03,0.071,93.8
10726,1210421,717.0,15.5,0.05,0.104,8.37,843.0,1770.0,0.2,164.0,6.34,0.0387,0.837,745.0,50.5,524.0,3.39,9.12,1.14,0.104,87.1
7476,1210425,560.0,0.5,0.003,0.13,7.87,680.0,1690.0,0.23,790.0,3.0,0.47,0.58,830.0,170.0,260.0,7.0,91.0,0.06,0.13,95.0
12168,1210429,680.0,10.0,0.003,0.003,8.41,800.0,1300.0,2.2,18.1,4.0,0.007,0.06,400.0,6.2,490.0,1.2,0.6,0.06,0.003,98.0
