geometry,WELL_ID,WELL_TEST_ID,LATTITUDE,LONGITUDE,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
POINT (-113.84753 51.32974),9736,5422,51.32974,-113.84753,1204169,575.0,5.0,0.05,0.05,8.18,702.0,868.0,0.21,222.0,2.13,0.145,0.079,200.0,51.2,242.0,4.57,22.9,0.171,0.071,100.0
POINT (-113.845703 51.327919),8798,8367,51.327919,-113.845703,1203417,559.0,21.5,0.05,0.05,8.6,638.0,706.0,1.88,9.9,3.11,0.0094,0.092,82.7,2.91,278.0,1.23,0.64,0.097,0.07,90.0
POINT (-113.845703 51.327973),4909,316,51.327973,-113.845703,1065435,578.0,18.0,0.05,0.05,8.6,668.0,716.0,2.4,4.0,2.3,0.01,0.03,93.7,1.2,268.0,1.2,0.3,0.12,0.07,86.0
POINT (-113.843718 51.323678),3954,8957,51.323678,-113.843718,1198183,530.0,5.0,0.05,0.05,8.28,639.0,815.0,1.2,53.0,3.5,0.0405,0.11,177.0,13.8,295.0,2.23,4.5,2.73,0.07,97.4
POINT (-113.84367 51.32378),11799,12260,51.32378,-113.84367,1214673,489.0,5.0,0.05,0.1,7.9,597.0,812.0,1.1,55.9,9.0,0.028,0.1,187.0,14.8,299.0,1.9,4.6,0.55,0.1,1.0
POINT (-113.843717 51.323731),9542,759,51.323731,-113.843717,1065427,553.0,6.0,0.05,0.05,8.3,662.0,807.0,1.2,34.0,3.6,0.03,0.15,180.0,8.6,276.0,2.2,3.1,1.45,0.07,85.2
POINT (-113.82703 51.32125),10709,10122,51.32125,-113.82703,1207897,544.0,23.3,0.05,0.05,8.63,616.0,936.0,1.41,32.3,4.31,0.0131,0.054,251.0,8.84,340.0,2.0,2.48,0.181,0.071,95.0
POINT (-113.824974 51.327288),6703,4553,51.327288,-113.824974,1196571,544.0,25.0,0.05,0.05,8.73,614.0,644.0,3.8,8.0,4.6,0.0054,0.03,49.1,2.52,256.0,1.05,0.52,0.104,0.07,92.5
POINT (-113.824166 51.327002),6702,9229,51.327002,-113.824166,1196567,604.0,5.0,0.05,0.05,8.23,737.0,939.0,0.6,113.0,2.1,0.105,0.304,230.0,27.7,303.0,2.73,10.7,2.36,0.07,91.5
POINT (-113.82333 51.33352),13180,13180,51.33352,-113.82333,1215351,368.0,5.0,0.05,9.6,7.3,449.0,1570.0,0.1,814.0,18.0,0.001,0.05,824.0,165.0,227.0,6.0,97.5,0.05,9.6,1.0
POINT (-113.823287 51.333438),6064,11469,51.333438,-113.823287,1196355,419.0,5.0,0.05,9.67,8.03,511.0,1370.0,0.2,670.0,11.8,0.005,0.03,642.0,134.0,197.0,6.12,81.5,0.03,9.67,97.1
POINT (-113.819992 51.332407),699,1696,51.332407,-113.819992,1071891,390.0,5.0,0.05,7.99,8.0,476.0,1520.0,0.1,729.0,5.9,0.02,0.03,802.0,148.0,202.0,6.3,87.4,0.02,7.99,93.2
POINT (-113.820797 51.310877),7742,7815,51.310877,-113.820797,1197227,448.0,5.0,0.05,0.05,8.15,547.0,1170.0,0.5,139.0,8.2,0.047,0.27,463.0,36.0,374.0,3.5,12.0,0.408,0.07,101.0
POINT (-113.820796 51.310929),2651,406,51.310929,-113.820796,1065527,459.0,5.0,0.05,0.05,8.2,559.0,1150.0,0.5,116.0,8.0,0.05,0.29,470.0,29.2,350.0,3.7,10.5,0.49,0.07,91.9
POINT (-113.826952 51.315289),9439,10146,51.315289,-113.826952,1202025,398.0,5.0,0.07,0.07,7.97,486.0,1810.0,0.9,332.0,7.7,0.169,0.29,972.0,76.2,472.0,4.1,34.3,0.265,0.15,95.7
POINT (-113.824073 51.299033),6628,6450,51.299033,-113.824073,1200647,518.0,20.0,0.05,0.05,8.7,591.0,1010.0,1.7,11.0,4.5,0.01,0.03,342.0,3.1,343.0,1.7,0.8,0.05,0.07,85.8
POINT (-113.82405 51.29918),11797,10588,51.29918,-113.82405,1211057,453.0,5.0,0.01,0.3,8.0,552.0,1040.0,1.6,27.6,11.0,0.016,0.4,352.0,7.1,394.0,2.2,2.4,0.24,0.3,1.1
POINT (-113.846697 51.285091),7247,5345,51.285091,-113.846697,1197827,580.0,5.0,0.05,35.7,7.69,708.0,1780.0,0.1,771.0,75.2,0.025,0.15,652.0,155.0,296.0,6.3,93.2,0.035,35.7,95.3
POINT (-113.846888 51.285401),7246,10902,51.285401,-113.846888,1197823,549.0,5.0,0.05,26.6,7.71,670.0,1700.0,0.1,757.0,49.2,0.025,0.15,695.0,160.0,257.0,5.8,86.9,0.12,26.6,92.1
POINT (-113.847449 51.285882),8466,4568,51.285882,-113.847449,1197831,506.0,5.0,0.05,14.3,7.74,618.0,1690.0,0.2,745.0,20.2,0.025,0.15,781.0,163.0,270.0,5.5,82.1,0.038,14.3,95.7
POINT (-113.843428 51.295976),7582,1113,51.295976,-113.843428,1072715,575.0,5.0,0.05,0.05,8.2,701.0,1550.0,0.2,85.0,2.8,0.04,1.1,669.0,23.1,496.0,4.1,6.7,1.03,0.07,91.7
POINT (-113.873783 51.293682),3948,9752,51.293682,-113.873783,1198151,425.0,5.0,0.05,6.62,7.81,518.0,853.0,0.2,334.0,9.5,0.005,0.03,268.0,79.8,173.0,5.14,32.7,0.03,6.62,96.7
POINT (-113.880044 51.299059),7245,9992,51.299059,-113.880044,1197819,536.0,5.0,0.05,0.05,8.22,654.0,851.0,1.1,95.0,1.4,0.0176,0.067,211.0,25.0,281.0,1.97,7.82,0.126,0.07,93.1
POINT (-113.874704 51.294432),9564,12709,51.294432,-113.874704,1202073,496.0,5.0,0.05,0.56,7.73,605.0,1330.0,0.3,351.0,11.7,0.005,0.03,568.0,83.9,325.0,4.0,34.4,0.147,0.56,96.1
POINT (-113.87469 51.29449),8110,9283,51.29449,-113.87469,1206817,496.0,5.0,0.05,0.066,8.1,605.0,1110.0,0.52,182.0,7.93,0.005,0.03,401.0,44.5,335.0,2.93,17.1,0.097,0.071,98.7
POINT (-113.879562 51.286776),9572,9415,51.286776,-113.879562,1202105,558.0,16.0,0.05,0.05,8.56,648.0,680.0,2.8,8.0,3.4,0.005,0.035,60.4,2.2,275.0,1.14,0.66,0.048,0.07,96.1
POINT (-113.865044 51.295255),3952,8472,51.295255,-113.865044,1198175,573.0,12.0,0.05,0.05,8.44,675.0,642.0,3.8,43.0,4.4,0.0104,0.03,24.8,9.1,250.0,1.46,4.99,0.03,0.07,95.7
POINT (-113.85111 51.27806),11805,11531,51.27806,-113.85111,1214697,537.0,5.0,0.1,0.1,8.4,650.0,602.0,3.1,7.3,10.7,0.005,0.01,0.6,2.1,261.0,1.0,0.5,0.03,0.1,1.0
POINT (-113.85357 51.27138),11241,10705,51.27138,-113.85357,1213885,424.0,5.0,0.01,0.1,7.1,517.0,593.0,0.1,274.0,5.4,0.042,0.64,108.0,63.5,130.0,2.9,28.0,1.52,0.1,1.0
POINT (-113.853518 51.271405),9142,9993,51.271405,-113.853518,1197835,472.0,5.0,0.05,0.05,7.84,575.0,618.0,0.2,262.0,4.4,0.0385,0.742,104.0,60.7,136.0,2.94,26.7,0.846,0.07,95.7
POINT (-113.85306 51.271426),7248,5993,51.271426,-113.85306,1197839,532.0,5.0,0.05,5.25,8.01,649.0,750.0,0.1,414.0,31.3,0.005,0.03,105.0,96.7,128.0,4.53,41.9,0.03,5.25,99.1
POINT (-113.852196 51.269513),11242,6947,51.269513,-113.852196,1213889,460.0,5.0,0.01,1.1,7.2,561.0,677.0,0.1,349.0,10.7,0.003,0.02,137.0,79.7,132.0,3.8,36.4,0.03,1.1,1.0
POINT (-113.861211 51.271469),9570,12710,51.271469,-113.861211,1202097,573.0,16.0,0.05,0.05,8.52,667.0,626.0,4.2,12.0,11.7,0.243,0.894,6.1,3.32,255.0,1.11,0.81,2.96,0.07,93.5
POINT (-113.862792 51.280739),3937,5346,51.280739,-113.862792,1198083,445.0,5.0,0.09,1.12,7.99,543.0,640.0,0.2,250.0,1.6,0.0171,0.03,127.0,57.6,152.0,3.7,25.8,0.03,1.21,100.0
POINT (-113.863649 51.280925),9144,9996,51.280925,-113.863649,1198087,455.0,5.0,0.05,1.45,8.0,555.0,676.0,0.3,209.0,1.1,0.005,0.03,146.0,47.9,177.0,2.96,21.7,0.075,1.45,97.3
POINT (-113.86424 51.2799),9196,12656,51.2799,-113.86424,1203749,420.0,5.0,0.05,1.61,8.27,508.0,631.0,0.15,306.0,1.98,0.005,0.03,147.0,65.7,119.0,3.98,34.5,0.03,1.61,100.0
POINT (-113.863211 51.280567),7858,8471,51.280567,-113.863211,1198091,438.0,5.0,0.05,1.63,7.95,534.0,625.0,0.2,245.0,1.5,0.005,0.03,126.0,55.5,142.0,3.65,25.8,0.03,1.63,96.7
POINT (-113.87149 51.27796),8494,9427,51.27796,-113.87149,1203097,457.0,5.0,0.05,0.07,7.94,557.0,564.0,0.1,262.0,2.5,0.0367,0.556,92.9,59.6,102.0,4.99,27.4,1.2,0.07,87.9
POINT (-113.879466 51.277974),3938,7249,51.277974,-113.879466,1198095,556.0,11.0,0.05,0.05,8.46,656.0,678.0,3.5,11.0,2.3,0.005,0.03,61.9,2.86,272.0,1.18,0.85,0.03,0.07,95.4
POINT (-113.87952 51.27798),13179,13179,51.27798,-113.87952,1215350,507.0,5.0,0.05,0.1,8.2,619.0,678.0,2.8,10.4,3.0,0.003,0.01,73.0,2.7,289.0,1.1,0.9,0.03,0.1,1.1
POINT (-113.87647 51.27158),13178,13178,51.27158,-113.87647,1215349,428.0,5.0,0.05,0.1,7.4,522.0,603.0,0.2,176.0,2.0,0.025,0.06,107.0,40.6,176.0,2.5,18.1,0.12,0.1,1.0
POINT (-113.876558 51.271532),10775,7250,51.271532,-113.876558,1198099,447.0,5.0,0.05,0.05,7.9,545.0,609.0,0.3,172.0,1.0,0.0258,0.061,107.0,39.8,172.0,2.6,17.7,0.136,0.07,98.1
POINT (-113.837395 51.249905),5723,9882,51.249905,-113.837395,1197231,541.0,5.0,0.05,0.05,8.31,652.0,1520.0,1.1,39.0,5.6,0.025,0.15,637.0,11.0,538.0,2.5,2.87,1.43,0.07,100.0
POINT (-113.836938 51.249457),7627,7239,51.249457,-113.836938,1197223,558.0,6.0,0.05,0.05,8.32,668.0,1490.0,0.9,41.0,6.0,0.025,0.15,610.0,11.5,528.0,2.5,3.06,0.074,0.07,98.9
POINT (-113.842579 51.263073),5596,7814,51.263073,-113.842579,1197215,574.0,5.0,0.05,8.12,8.16,701.0,2120.0,0.5,347.0,14.5,0.025,0.15,979.0,54.0,639.0,4.2,51.6,0.186,8.12,106.0
POINT (-113.843074 51.262432),7255,9881,51.262432,-113.843074,1197211,687.0,7.0,0.05,0.45,8.32,825.0,1440.0,1.0,85.0,4.2,0.025,0.15,462.0,16.6,533.0,3.1,10.5,0.188,0.45,106.0
POINT (-113.84309 51.26245),13035,13035,51.26245,-113.84309,1215206,491.0,5.0,0.05,18.3,7.8,600.0,1250.0,0.1,316.0,22.0,0.003,0.14,468.0,43.8,351.0,4.4,50.3,7.26,18.3,1.0
POINT (-113.848425 51.271134),7244,5344,51.271134,-113.848425,1197815,505.0,5.0,0.05,0.69,7.91,616.0,756.0,0.3,356.0,64.1,0.0183,0.03,127.0,71.4,140.0,3.9,43.1,0.03,0.69,91.0
POINT (-113.85053 51.278035),7249,7822,51.278035,-113.85053,1197843,545.0,9.0,0.05,0.08,8.4,646.0,828.0,1.2,42.0,1.8,0.0114,0.159,177.0,10.3,305.0,1.71,3.96,0.21,0.08,96.3
POINT (-113.85015 51.28139),9139,4561,51.28139,-113.85015,1197219,766.0,5.0,0.05,3.84,7.91,935.0,2060.0,0.1,479.0,5.1,0.025,0.15,874.0,93.4,547.0,6.4,59.7,0.03,3.84,98.8
POINT (-113.82089 51.24923),11207,10130,51.24923,-113.82089,1208329,488.0,12.5,0.05,0.478,8.5,570.0,1010.0,2.39,16.1,3.72,0.0079,0.03,341.0,4.75,360.0,1.35,1.04,0.03,0.478,93.5
POINT (-113.820699 51.249628),4244,7186,51.249628,-113.820699,1176991,505.0,12.0,0.05,0.05,8.5,591.0,916.0,2.8,14.0,7.2,0.005,0.03,304.0,4.15,293.0,1.22,0.87,0.05,0.07,77.9
POINT (-113.82394 51.24429),11208,11648,51.24429,-113.82394,1208333,469.0,5.0,0.05,11.4,8.17,572.0,2770.0,0.53,244.0,5.1,0.025,0.15,1490.0,53.8,855.0,6.0,26.6,0.15,11.4,102.0
POINT (-113.827795 51.242413),9719,9535,51.242413,-113.827795,1202341,273.0,5.0,0.1,0.05,8.32,327.0,3500.0,1.0,201.0,7.0,0.108,11.9,2230.0,41.5,1030.0,4.3,23.7,34.7,0.1,94.0
POINT (-113.889245 51.07384),13723,13723,51.07384,-113.889245,1215891,682.0,5.0,0.25,0.25,8.27,826.0,1750.0,0.5,37.8,32.9,0.0119,0.091,690.0,13.1,599.0,1.34,1.24,0.259,0.35,93.1
POINT (-113.778335 50.990491),1143,314,50.990491,-113.778335,1065403,382.0,21.0,0.05,0.05,8.8,425.0,778.0,2.9,4.0,2.2,0.01,0.04,265.0,1.6,277.0,0.5,0.1,0.18,0.07,90.6
POINT (-113.759615 50.970354),13366,13366,50.970354,-113.759615,1215536,461.0,5.0,0.25,0.67,7.89,562.0,3500.0,0.5,502.0,13.1,0.153,0.03,2040.0,132.0,995.0,3.22,41.8,0.448,0.67,102.0
POINT (-113.758834 50.972082),15372,15372,50.972082,-113.758834,1218626,718.0,5.0,0.05,0.73,8.03,875.0,2550.0,0.32,439.0,18.5,0.212,0.03,1290.0,124.0,651.0,2.55,31.4,0.03,0.73,88.9
POINT (-113.759602 50.970372),15359,15359,50.970372,-113.759602,1218613,393.0,5.0,0.05,1.17,7.98,480.0,3580.0,0.1,552.0,16.3,0.0934,0.03,2100.0,156.0,1020.0,2.81,39.4,0.167,1.17,106.0
POINT (-113.742909 50.965342),13344,13344,50.965342,-113.742909,1215514,417.0,5.0,0.05,6.23,7.96,509.0,1420.0,0.1,595.0,45.0,0.005,0.03,643.0,78.1,272.0,2.1,97.1,0.162,6.23,101.0
POINT (-113.74404 50.96628),13451,13451,50.96628,-113.74404,1215621,407.0,5.0,0.05,7.7,7.5,497.0,1830.0,0.1,639.0,11.0,0.012,0.03,970.0,92.5,403.0,2.0,99.1,0.05,7.7,1.0
POINT (-113.74444 50.96461),13452,13452,50.96461,-113.74444,1215622,376.0,5.0,0.05,4.2,7.4,459.0,1150.0,0.1,367.0,18.0,0.001,0.01,509.0,48.9,282.0,1.6,59.5,0.05,4.2,1.0
POINT (-113.753712 50.97339),15373,15373,50.97339,-113.753712,1218627,442.0,5.0,0.05,0.85,8.18,539.0,1920.0,0.15,110.0,14.0,0.0323,0.03,954.0,30.8,643.0,1.41,7.93,0.03,0.85,104.0
POINT (-113.7519 50.97794),13399,13399,50.97794,-113.7519,1215569,384.0,5.0,0.05,2.0,7.3,469.0,2360.0,0.5,141.0,12.0,0.04,0.05,1310.0,39.4,757.0,1.8,10.3,0.05,2.0,1.0
POINT (-113.74816 50.98302),13400,13400,50.98302,-113.74816,1215570,224.0,5.0,0.05,0.05,8.4,264.0,446.0,5.8,3.91,75.0,0.003,0.02,43.2,1.4,186.0,0.3,0.1,0.62,0.05,1.0
POINT (-113.727608 50.987648),15361,15361,50.987648,-113.727608,1218615,224.0,23.8,0.01,0.02,9.07,225.0,490.0,7.34,4.4,54.2,0.0117,0.03,85.6,1.78,207.0,0.5,0.1,0.03,0.05,111.0
POINT (-113.727232 50.987558),15362,15362,50.987558,-113.727232,1218616,468.0,17.4,0.05,0.32,8.54,535.0,2160.0,0.32,78.8,19.6,0.0302,0.03,1080.0,21.6,752.0,1.5,6.04,0.164,0.32,106.0
POINT (-113.72702 50.969843),13376,13376,50.969843,-113.72702,1215546,442.0,5.0,0.25,0.25,8.19,539.0,1580.0,0.5,228.0,8.95,0.101,0.03,818.0,39.1,416.0,1.38,31.6,0.088,0.35,86.8
POINT (-113.696561 50.990204),11327,12102,50.990204,-113.696561,1205597,449.0,8.5,0.05,0.05,8.36,530.0,1670.0,0.56,62.7,10.4,0.0269,0.062,844.0,18.0,519.0,1.03,4.3,0.157,0.071,90.0
POINT (-113.70461 50.996278),13347,13347,50.996278,-113.70461,1215517,232.0,5.0,0.05,0.05,8.17,283.0,2220.0,0.91,67.2,29.8,0.005,0.03,1310.0,20.5,719.0,1.36,3.9,0.03,0.071,99.5
POINT (-113.70458 50.99628),11466,9026,50.99628,-113.70458,1205765,226.0,5.3,0.05,0.05,8.41,265.0,2120.0,1.16,69.2,30.8,0.0058,0.03,1300.0,21.2,630.0,1.35,3.96,0.03,0.071,90.0
POINT (-113.70439 50.99714),11464,8888,50.99714,-113.70439,1205757,421.0,5.0,0.05,0.05,7.98,513.0,1260.0,0.11,366.0,9.76,0.18,0.055,596.0,84.1,277.0,4.78,38.0,0.083,0.071,90.0
POINT (-113.704376 50.997156),13348,13348,50.997156,-113.704376,1215518,423.0,5.0,0.05,0.05,7.72,516.0,1300.0,0.1,392.0,11.2,0.194,0.063,605.0,86.3,297.0,4.67,42.9,0.069,0.071,97.7
POINT (-113.70154 51.00171),11572,12107,51.00171,-113.70154,1205793,538.0,5.0,0.05,0.091,7.99,656.0,1550.0,0.1,510.0,18.4,0.134,1.16,717.0,113.0,317.0,6.39,55.4,1.27,0.091,90.0
POINT (-113.7018 51.00198),11472,12718,51.00198,-113.7018,1205789,151.0,6.5,0.05,0.05,8.57,170.0,1520.0,2.0,33.7,39.3,0.0107,0.03,912.0,11.3,463.0,0.92,1.34,1.02,0.071,90.0
POINT (-113.699017 50.994698),11711,11984,50.994698,-113.699017,1205957,226.0,5.0,0.05,0.062,8.36,265.0,1870.0,0.98,60.7,27.6,0.0137,0.03,1100.0,19.5,580.0,1.32,2.92,3.95,0.071,90.0
POINT (-113.69535 51.0073),11471,5886,51.0073,-113.69535,1205785,429.0,15.4,0.05,0.05,8.58,492.0,1090.0,2.47,22.9,13.9,0.0058,0.03,439.0,6.92,369.0,1.15,1.36,0.276,0.071,90.0
POINT (-113.695759 51.008285),1386,3189,51.008285,-113.695759,1176539,210.0,8.0,0.05,0.05,8.5,240.0,1320.0,0.9,46.0,44.3,0.0181,0.03,710.0,12.1,420.0,1.31,3.77,0.093,0.07,94.8
POINT (-113.696031 51.009529),1398,3258,51.009529,-113.696031,1176619,163.0,9.0,0.05,0.05,8.7,179.0,982.0,1.6,13.0,47.5,0.005,0.03,513.0,4.64,317.0,0.5,0.32,0.03,0.07,91.6
POINT (-113.692739 51.009308),8605,9994,51.009308,-113.692739,1197851,181.0,5.0,0.05,0.05,8.33,218.0,1050.0,1.8,14.0,49.7,0.0075,0.03,520.0,4.83,367.0,0.61,0.37,0.289,0.07,102.0
POINT (-113.692739 51.009351),1953,688,51.009351,-113.692739,1068995,183.0,6.0,0.05,0.05,8.6,210.0,1060.0,1.8,8.0,47.4,0.01,0.05,533.0,2.7,369.0,0.6,0.2,0.05,0.07,100.0
POINT (-113.70168 51.00564),11463,12105,51.00564,-113.70168,1205753,407.0,15.2,0.05,0.05,8.59,465.0,1240.0,2.2,27.4,16.6,0.449,0.036,556.0,8.37,410.0,1.11,1.57,0.038,0.071,90.0
POINT (-113.7019 51.00307),11462,11117,51.00307,-113.7019,1205749,389.0,5.0,0.101,1.3,7.83,475.0,1090.0,0.2,627.0,86.9,0.0159,0.537,433.0,123.0,125.0,7.72,77.7,2.99,1.4,90.0
POINT (-113.70194 51.00383),11468,4843,51.00383,-113.70194,1205773,432.0,7.2,0.05,0.05,8.37,513.0,1380.0,1.82,45.6,27.4,0.005,0.03,629.0,13.5,447.0,1.35,2.88,0.064,0.071,90.0
POINT (-113.701264 51.00419),11706,8010,51.00419,-113.701264,1205937,442.0,5.0,0.05,0.799,8.0,539.0,1930.0,0.27,501.0,86.2,0.04,0.15,952.0,105.0,456.0,5.9,58.1,0.115,0.799,100.0
POINT (-113.700619 51.020322),2449,795,51.020322,-113.700619,1064847,178.0,5.0,0.05,0.05,8.5,209.0,972.0,1.9,7.0,52.2,0.01,0.02,484.0,2.5,324.0,0.3,0.3,0.08,0.07,94.5
POINT (-113.700095 51.025525),11321,9492,51.025525,-113.700095,1205573,201.0,16.8,0.05,0.05,9.04,211.0,619.0,2.72,11.0,52.8,0.0051,0.03,222.0,4.04,217.0,0.5,0.21,1.24,0.07,90.0
POINT (-113.72708 51.02571),6374,5777,51.02571,-113.72708,1207005,371.0,5.0,0.01,0.01,7.8,453.0,1780.0,0.3,111.0,6.0,0.05,0.41,919.0,29.9,588.0,1.8,8.9,2.92,0.01,100.0
POINT (-113.72781 51.00758),13524,13524,51.00758,-113.72781,1215694,159.0,5.0,0.05,0.2,8.1,194.0,2250.0,0.9,72.1,31.0,0.017,0.05,1400.0,25.4,695.0,1.3,2.1,0.03,0.2,1.0
POINT (-113.72774 51.00725),13523,13523,51.00725,-113.72774,1215693,162.0,5.0,0.05,0.05,8.3,196.0,1520.0,1.8,37.8,35.0,0.008,0.01,872.0,13.0,497.0,1.0,1.3,0.03,0.05,1.0
POINT (-113.725056 50.996873),12371,12827,50.996873,-113.725056,1210005,411.0,7.3,0.05,2.73,8.39,487.0,1220.0,0.59,134.0,26.5,0.0079,0.03,513.0,27.4,377.0,3.05,15.9,0.257,2.73,96.3
POINT (-113.752913 51.042452),5942,5597,51.042452,-113.752913,1213485,277.0,11.6,0.05,0.05,8.66,314.0,840.0,2.2,11.3,14.3,0.016,0.229,359.0,3.57,293.0,0.75,0.59,13.6,0.071,96.0
POINT (-113.727938 51.057635),2311,1103,51.057635,-113.727938,1071883,539.0,9.0,0.05,0.11,8.4,640.0,1810.0,0.8,62.0,4.9,0.03,0.23,907.0,18.6,552.0,1.7,3.7,0.33,0.11,84.7
POINT (-113.727939 51.05759),6989,8286,51.05759,-113.727939,1195723,556.0,5.0,0.05,0.05,8.31,668.0,1880.0,0.9,56.0,8.6,0.0276,0.192,913.0,17.9,601.0,2.01,2.82,0.303,0.07,89.8
POINT (-113.727687 51.060646),12860,12892,51.060646,-113.727687,1212793,401.0,5.0,0.05,7.31,7.8,489.0,1520.0,0.1,1030.0,100.0,0.005,0.03,699.0,249.0,91.7,7.38,100.0,0.408,7.31,95.8
POINT (-113.727687 51.0606),6575,7937,51.0606,-113.727687,1196519,423.0,5.0,0.05,8.41,7.87,517.0,1450.0,0.1,983.0,66.6,0.005,0.03,649.0,243.0,99.3,7.39,91.4,2.57,8.41,98.7
POINT (-113.727687 51.060645),1825,261,51.060645,-113.727687,1065591,428.0,5.0,0.05,5.81,7.8,522.0,1300.0,0.1,934.0,63.4,0.01,0.01,533.0,223.0,94.0,8.1,91.7,0.01,5.81,105.0
POINT (-113.727602 51.05696),10123,9319,51.05696,-113.727602,1195715,372.0,5.0,0.05,17.2,7.68,454.0,2260.0,0.1,1230.0,257.0,0.005,0.03,1040.0,285.0,245.0,6.22,125.0,0.167,17.2,94.0
POINT (-113.727601 51.057005),2944,992,51.057005,-113.727601,1065071,397.0,5.0,0.05,14.8,7.9,484.0,2310.0,0.1,1380.0,246.0,0.01,0.01,1050.0,324.0,241.0,6.2,139.0,0.19,14.8,101.0
POINT (-113.724335 51.054608),8058,11592,51.054608,-113.724335,1202773,573.0,5.0,0.05,4.46,8.13,699.0,1800.0,0.3,307.0,7.6,0.026,0.15,758.0,71.5,563.0,5.3,31.3,0.033,4.46,111.0
POINT (-113.724335 51.054607),2383,413,51.054607,-113.724335,1065915,587.0,5.0,0.05,3.15,8.1,716.0,2100.0,0.4,193.0,6.6,0.03,0.01,1020.0,42.5,636.0,5.3,21.0,0.03,3.15,94.7
POINT (-113.7241 51.04578),13283,13283,51.04578,-113.7241,1215453,289.0,5.0,0.05,0.3,8.3,353.0,1230.0,2.5,22.2,21.0,0.002,0.03,589.0,6.1,434.0,1.1,1.7,0.24,0.3,1.0
POINT (-113.736763 51.036606),4219,8513,51.036606,-113.736763,1176823,430.0,5.0,0.05,10.7,8.0,524.0,2360.0,0.1,579.0,190.0,0.144,0.03,1160.0,122.0,507.0,5.14,66.6,0.184,10.7,86.8
POINT (-113.723945 51.04573),9978,3537,51.04573,-113.723945,1175455,395.0,5.0,0.05,0.05,8.0,482.0,1360.0,2.8,28.0,17.1,0.0247,0.049,638.0,6.87,450.0,1.22,2.55,0.18,0.07,92.4
POINT (-113.723945 51.045775),10206,11719,51.045775,-113.723945,1206533,314.0,9.0,0.05,0.05,8.49,365.0,1200.0,3.02,22.5,17.8,0.005,0.03,581.0,6.21,405.0,1.09,1.7,0.104,0.071,95.0
POINT (-113.72301 51.04626),13284,13284,51.04626,-113.72301,1215454,354.0,5.0,0.05,0.2,8.4,426.0,608.0,3.4,7.71,19.0,0.001,0.01,119.0,2.1,250.0,0.6,0.6,0.05,0.2,1.1
POINT (-113.723019 51.046274),10207,9278,51.046274,-113.723019,1206537,393.0,19.4,0.05,0.05,8.73,440.0,606.0,4.44,7.6,15.2,0.005,0.03,109.0,2.14,238.0,0.68,0.54,1.44,0.071,97.5
POINT (-113.723019 51.046228),1473,6204,51.046228,-113.723019,1175463,433.0,5.0,0.05,0.05,7.4,528.0,679.0,4.3,7.43,14.7,0.005,0.03,111.0,2.11,268.0,0.62,0.52,0.54,0.07,102.0
POINT (-113.709127 51.047838),10205,10772,51.047838,-113.709127,1206529,354.0,21.0,0.05,0.05,8.84,389.0,530.0,4.65,6.1,9.43,0.005,0.03,101.0,1.96,200.0,0.64,0.29,0.03,0.071,91.2
POINT (-113.692931 51.030134),12038,11253,51.030134,-113.692931,1213345,243.0,16.4,0.05,0.05,8.9,263.0,493.0,2.73,4.9,42.1,0.005,0.03,114.0,1.6,187.0,0.5,0.22,0.055,0.071,96.2
POINT (-113.701004 51.040174),12997,12997,51.040174,-113.701004,1215168,273.0,29.1,0.05,0.05,9.04,274.0,1480.0,0.46,50.7,8.08,0.01,0.03,808.0,14.7,483.0,1.22,3.41,0.29,0.071,97.9
POINT (-113.705747 51.041998),15752,15752,51.041998,-113.705747,1219002,248.0,6.5,0.05,0.05,8.42,289.0,1590.0,1.65,39.2,13.2,0.005,0.03,893.0,11.2,521.0,1.39,2.72,0.164,0.071,97.8
POINT (-113.706148 51.065465),6773,8417,51.065465,-113.706148,1197703,255.0,9.0,0.05,0.05,8.57,293.0,1320.0,2.3,29.0,6.3,0.0097,0.3,706.0,9.09,438.0,1.21,1.57,0.424,0.07,92.8
POINT (-113.706147 51.065509),1956,1815,51.065509,-113.706147,1069015,252.0,6.0,0.05,0.1,8.5,295.0,1240.0,2.9,16.0,7.1,0.01,0.04,716.0,4.9,358.0,1.7,1.0,13.8,0.1,78.5
POINT (-113.720568 51.052663),10191,5772,51.052663,-113.720568,1206473,514.0,10.5,0.05,0.05,8.39,606.0,1510.0,1.21,62.8,6.97,0.025,0.15,671.0,18.5,504.0,2.5,4.03,0.064,0.071,94.6
POINT (-113.720567 51.052662),2382,70,51.052662,-113.720567,1065911,542.0,5.0,0.05,0.05,8.1,661.0,1640.0,1.1,46.0,4.7,0.02,0.07,735.0,13.3,554.0,1.0,3.0,0.1,0.07,95.1
POINT (-113.723975 51.060616),10202,8582,51.060616,-113.723975,1206517,492.0,5.0,0.05,2.84,8.14,600.0,1430.0,1.42,401.0,22.7,0.0053,0.03,656.0,93.0,309.0,2.43,40.9,0.863,2.84,88.1
