geometry,WELL_ID,WELL_TEST_ID,LATTITUDE,LONGITUDE,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
POINT (-113.267313 52.465667),4529,2082,52.465667,-113.267313,1155719,615.0,6.0,0.005,0.05,8.24,750.0,870.0,0.19,160.0,1.8,0.08,0.1,160.0,44.0,289.0,4.0,11.0,0.6,0.05,100.0
POINT (-113.283221 52.468002),12642,11501,52.468002,-113.283221,1212449,621.0,5.0,0.05,0.05,8.25,757.0,880.0,0.45,71.1,1.27,0.0819,0.031,163.0,21.7,315.0,1.64,4.11,0.038,0.071,95.6
POINT (-113.304223 52.462478),10184,12728,52.462478,-113.304223,1206445,565.0,14.0,0.05,0.05,8.45,660.0,759.0,0.25,13.0,0.52,0.05,0.191,130.0,4.64,283.0,0.96,0.35,0.314,0.071,89.9
POINT (-113.303016 52.466133),2784,2576,52.466133,-113.303016,1156085,741.0,41.0,0.005,0.04,8.72,820.0,832.0,0.98,10.0,5.6,0.005,0.09,38.1,3.2,338.0,1.4,0.6,0.1,0.04,95.0
POINT (-113.302717 52.466069),11076,11700,52.466069,-113.302717,1208213,746.0,43.2,0.05,0.05,8.73,822.0,791.0,1.03,7.9,5.75,0.005,0.034,6.99,2.77,326.0,0.85,0.23,0.256,0.071,94.0
POINT (-113.309722 52.464722),10716,10123,52.464722,-113.309722,1207925,590.0,16.3,0.05,0.05,8.44,687.0,751.0,0.24,21.6,1.07,0.005,0.03,104.0,7.48,282.0,1.16,0.72,0.114,0.07,90.9
POINT (-113.312097 52.462171),14564,14564,52.462171,-113.312097,1217825,504.0,10.0,0.2,0.2,7.5,615.0,702.0,0.5,259.0,13.5,0.061,0.002,115.0,47.3,89.6,1.7,34.4,0.002,0.4,70.9
POINT (-113.312069 52.461624),10965,5909,52.461624,-113.312069,1208117,506.0,5.0,0.05,0.055,8.01,617.0,639.0,0.11,340.0,6.06,0.0735,0.03,108.0,65.2,110.0,2.83,43.0,0.03,0.07,92.9
POINT (-113.312086 52.46139),10979,6496,52.46139,-113.312086,1208173,497.0,5.0,0.05,0.263,7.95,607.0,660.0,0.1,338.0,5.3,0.005,0.03,115.0,70.9,129.0,2.76,39.2,0.03,0.263,99.6
POINT (-113.312029 52.461427),10975,12814,52.461427,-113.312029,1208157,514.0,5.0,0.05,0.234,7.98,627.0,690.0,0.1,316.0,12.0,0.005,0.03,115.0,63.0,149.0,2.52,38.6,0.03,0.234,98.7
POINT (-113.311767 52.460641),10974,12005,52.460641,-113.311767,1208153,481.0,5.0,0.05,0.05,7.89,587.0,623.0,0.1,365.0,0.84,0.336,0.03,119.0,76.8,93.3,2.8,42.1,0.03,0.071,94.3
POINT (-113.3075 52.464444),10717,8994,52.464444,-113.3075,1207929,549.0,10.8,0.05,0.05,8.36,648.0,734.0,0.1,47.5,0.51,0.0228,0.18,122.0,16.2,262.0,1.67,1.72,0.803,0.07,91.5
POINT (-113.308235 52.456717),10972,12004,52.456717,-113.308235,1208145,506.0,5.0,0.05,0.05,7.9,618.0,748.0,0.12,288.0,0.65,0.184,0.643,157.0,78.2,183.0,2.81,22.5,0.701,0.071,103.0
